rank,code,name,price,total_score,risk_adjusted_score,tech_score,fund_score,risk_level,risk_score,stop_loss,stop_loss_pct,take_profit,take_profit_pct,max_drawdown,volatility,position_pct
1,000021,深科技,64.27,59.2,47.4,68.5,53.0,high,66.5,56.71,11.77,79.39,23.53,26.06,74.54,6.43
2,000012,南玻A,5.16,57.0,45.6,63.0,53.0,high,66.5,4.54,12.04,6.4,24.03,29.73,72.65,8.26
3,000034,神州数码,27.75,55.1,44.1,58.2,53.0,high,66.5,24.61,11.32,31.34,12.94,28.46,74.8,8.33
4,000049,德赛电池,23.37,51.0,42.8,48.0,53.0,medium,53.5,21.48,8.1,25.7,9.97,25.07,41.49,7.01
5,000026,飞亚达,21.54,52.0,41.6,50.5,53.0,high,66.5,18.85,12.48,23.12,7.35,27.19,57.2,8.62
6,000001,平安银行,10.05,45.6,41.5,34.5,53.0,medium,30.0,9.61,4.35,10.93,8.76,11.05,23.17,8.04
7,000028,国药一致,18.91,45.9,40.3,35.2,53.0,medium,40.5,17.99,4.87,20.75,9.73,20.83,24.22,7.56
8,000027,深圳能源,6.2,46.6,39.1,37.0,53.0,medium,53.5,5.62,9.41,7.36,18.71,21.48,40.27,8.68
9,000011,深物业A,6.48,45.1,37.9,33.2,53.0,medium,53.5,5.86,9.54,7.72,19.14,29.99,42.83,8.42
10,000029,深深房A,22.05,47.2,37.8,38.5,53.0,high,66.5,18.89,14.34,28.37,28.66,25.97,86.16,6.62
11,000042,中洲控股,7.65,44.1,35.3,30.8,53.0,high,66.5,6.64,13.18,9.67,26.41,25.87,65.25,8.42
